media_subtype,vendor
DISPLAY,ESKIMI DIGITAL TECHNOLOGIES PT.
DISPLAY,TRIBUN DIGITAL ONLINE; PT.
CONTENT & PRODUCTION,MEDIA INNITY; PT.
SPONSORSHIP/ PACKAGE,TOP SKOR INDONESIA PT.
VIDEO,FORK MEDIA ASIA PTE. LTD
CONTENT & PRODUCTION,HELLO HEALTH GROUP; PTE LTD
TRAFFICC,SHOPEE INTERNATIONAL INDONESIA; PT
FEE,TOKOPEDIA; PT.
DISPLAY,GOTO GOJEK TOKOPEDIA Tbk; PT
AUDIO,GOOGLE INDONESIA; PT
SPONSORSHIP/ PACKAGE,PT. CITRA MULTIMEDIA INDONESIA
CONTENT & PRODUCTION,GRAB TEKNOLOGI INDONESIA; PT.
DISPLAY,ALPHA MERAH KREASI; PT.
CONTENT & PRODUCTION,ALODOKTER TEKNOLOGI SOLUSI; PT
AFFILIATE,IMPACT TECH SINGAPORE PTE.LTD
CONTENT & PRODUCTION,TRANS DIGITAL MEDIA; PT
SPONSORSHIP/ PACKAGE,GRIVY DOTCOM; PT
TECH SERVICE,INMOBI PTE. LTD.
SPONSORSHIP/ PACKAGE,Monster Entertainment Indonesia; PT
CONTENT & PRODUCTION,SHOPCOMM SOLUSI INDONESIA; PT
SPONSORSHIP/ PACKAGE,VUCLIP DIGITAL INDONESIA PT.
DISPLAY,TICKLED AUDIENCE PLATFORM; PT
CONTENT & PRODUCTION,Docquity Global Indonesia PT.
CONTENT & PRODUCTION,GRIVY DOTCOM; PT
CONTENT & PRODUCTION,DARTA MEDIA INDONESIA; PT
CONTENT & PRODUCTION,DOUBLE VERIFY INC
SPONSORSHIP/ PACKAGE,JAWA POS GROUP MULTIMEDIA; PT.
SPONSORSHIP/ PACKAGE,JURNALINDO AKSARA GRAFIKA; PT
SPONSORSHIP/ PACKAGE,Ruang Raya Indonesia PT.
SPONSORSHIP/ PACKAGE,SAMINDRA UTAMA; PT.
ECOMMERCE,DOUBLE VERIFY INC
TECH SERVICE,TRAVELOKA INDONESIA; PT
AFFILIATE,OPTIMISE MEDIA (SEA) PTE. LTD.
DISPLAY,ICART GROUP INDONESIA; PT.
VIDEO,TRANS DIGITAL MEDIA; PT
CONTENT & PRODUCTION,MEDIA PUTRA NUSANTARA
PUBLISHER,LIPUTAN6 DOT COM
MOBILE APP,INMOBI PTE. LTD.
CONTENT & PRODUCTION,MEDIA MITRA BUNDA (MAJALAH PREGNANCY)
CONTENT & PRODUCTION,KREASI KARYA BANGSA; PT
TECH SERVICE,SHOPALYST INC
SPONSORSHIP/ PACKAGE,GOTO GOJEK TOKOPEDIA Tbk; PT
CONTENT & PRODUCTION,FACEBOOK IRELAND LIMITED.
CONTENT & PRODUCTION,CHANDRA SAKTI; PT
PAID VIDEO,GAGAS MAHADAYA INDERA; PT. (ICO)
TECH SERVICE,CHANNEL FACTORY ASIA PACIFIC PTE. LTD.
VIDEO,GAGAS MAHADAYA INDERA; PT. (ICO)
DISPLAY,HIGINA ALADIN; PT.
CONTENT & PRODUCTION,MEDIA PUTRA NUSANTARA
AFFILIATE,SHOPBACK MITRA SEJAHTERA; PT.
AUDIO,GAGAS MAHADAYA INDERA; PT.
DISPLAY,VIDIO DOT COM; PT.
AFFILIATE,AD ASIA TECHNOLOGY INDONESIA
CONTENT & PRODUCTION,GLOBAL VISI MEDIA; PT
VIDEO,DOUBLE VERIFY INC
SPONSORSHIP/ PACKAGE,GLOBAL DIGILINE INDONESIA; PT.
CONTENT & PRODUCTION,JAWA POS GROUP MULTIMEDIA; PT.
CONTENT & PRODUCTION,DARTA MEDIA INDONESIA; PT
CONTENT & PRODUCTION,VOXXY MEDIA INDONESIA; PT
DISPLAY,GAGAS MAHADAYA INDERA; PT.
CONTENT & PRODUCTION,EKATANA INTRASURYA PERSADA PT.
AUDIO,SPOTIFY SERVICES INDONESIA; PT.
DISPLAY,WEB MARKETING INDONESIA; PT.
DISPLAY,KOLABORASI KREASI INVESTA;PT
VIDEO,MNC DIGITAL INDONESIA. PT
ANALYTICS,ESSENCE GLOBAL MEDIA SINGAPORE PTE. LTD
DISPLAY,Infomo Media Technology
CONTENT & PRODUCTION,BENSON MEDIA KREASI;  PT
PBU DISPLAY,Mediadonuts Pte Ltd
SPONSORSHIP/ PACKAGE,DARTA MEDIA INDONESIA; PT
SPONSORSHIP/ PACKAGE,MEDIA INSANI ABADI PT.
CONTENT & PRODUCTION,PT ROCCA KARYA INDONESIA
MOBILE APP,GOTO GOJEK TOKOPEDIA Tbk; PT
SEARCH,GRAB TEKNOLOGI INDONESIA; PT.
VIDEO,GRAB TEKNOLOGI INDONESIA; PT.
DISPLAY,ICART GROUP INDONESIA; PT.
CONTENT & PRODUCTION,TRANS DIGITAL MEDIA; PT
DISPLAY,IVIDEO SMART PTE LTD
VIDEO,SPOTIFY AB
CONTENT & PRODUCTION,AHQUOTE CIPTA DIGITAL PT
CONTENT & PRODUCTION,BINA MEDIA TENGGARA; PT
CONTENT & PRODUCTION,INMOBI PTE. LTD.
DISPLAY,TEKNOLOGI DIGITAL UTAMA; PT
TECH SERVICE,Athena Media Technologies PTE. LTD.
SEO,GAGAS MAHADAYA INDERA; PT. (ICO) - Optimisation
DISPLAY,KOLABORASI MEDIAPRENEUR NUSANTARA PT.
SPONSORSHIP/ PACKAGE,MEDIKA KOMUNIKA TEKNOLOGI; PT.
CONTENT & PRODUCTION,GUSHCLOUD INDONESIA GROUP;PT
VIDEO,GLOBAL DIGITAL NIAGA; PT
ANALYTICS,DOUBLE VERIFY INC
PACKAGE,SUPER FANTASI DOT COM PT.
VIDEO,GRAB TEKNOLOGI INDONESIA; PT.
AUDIO,SPOTIFY SERVICES INDONESIA; PT.
SPONSORSHIP/ PACKAGE,CERITA BAHAGIA; PT.
AD-OPS,HYBRID ADTECH PTE LTD
DISPLAY,PROMEDIA TEKNOLOGI INDONESIA PT.
SPONSORSHIP/ PACKAGE,INMOBI PTE. LTD.
CONTENT & PRODUCTION,DYNAMO MEDIA NETWORK; PT
FEE,AFFLE INDONESIA; PT
DISPLAY,KATADATA INDONESIA; PT (GAIKINDO MAGAZINE)
CONTENT & PRODUCTION,AFFLE INDONESIA; PT
DISPLAY,SILVERPUSH GLOBAL PTE. LTD
MOBILE APP,POP RAYA INDONESIA; PT
INFLUENCER,INDONESIA CREATORS ECONOMY; PT
SPONSORSHIP/ PACKAGE,LIPUTAN6 DOT COM
TECH SERVICE,VIRAL PITCH TECHOLOGIES PTE. LTD. (SPORE)
AUDIO,DOUBLE VERIFY INC
FEE,LIPUTAN6 DOT COM
VIDEO,GAGAS MAHADAYA INDERA; PT.
VIDEO,KOMPAS CYBER MEDIA; PT.
CONTENT & PRODUCTION,ESKIMI DIGITAL TECHNOLOGIES PT.
CONTENT & PRODUCTION,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
DISPLAY,IMPACT PLUS
DISPLAY,VUCLIP DIGITAL INDONESIA PT.
DISPLAY,GAGAS MAHADAYA INDERA; PT. (Programmatic)
SPONSORSHIP/ PACKAGE,IMAGE FUTURE INVESTMENT (HK) LTD
VIDEO,SILVERPUSH GLOBAL PTE. LTD
CONTENT & PRODUCTION,METRA-NET; PT
CONTENT & PRODUCTION,HADIAH POINT INDONESIA PT.
SPONSORSHIP/ PACKAGE,VIDIO DOT COM; PT.
DISPLAY,GAGAS MAHADAYA INDERA; PT.
CONTENT & PRODUCTION,PENERBITAN SARANA BOBO; PT
FEE,GRAHANUSA MEDIATAMA; PT.
DISPLAY,RCTI
VIDEO,SILVERPUSH GLOBAL PTE. LTD
VIDEO,TEKNOLOGI DIGITAL UTAMA; PT
DISPLAY,PT. GARUDA SEPAKBOLA  INDONESIA (DIGITAL)
CONTENT & PRODUCTION,KOMPAS CYBER MEDIA; PT.
CONTENT & PRODUCTION,LIPUTAN6 DOT COM
SPONSORSHIP/ PACKAGE,GLOBAL DIGITAL NIAGA; PT
VIDEO,TEADS INDONESIA ADVERTISING; PT
MOBILE APP,DARTA MEDIA INDONESIA; PT
FEE,DYNAMO MEDIA NETWORK; PT
PACKAGE,PT. MANTAPPU BERKAT DIGITAL
DISPLAY (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
DISPLAY,BINTANG LANGIT MULTIMEDIA; PT.
SPONSORSHIP/ PACKAGE,GRAB TEKNOLOGI INDONESIA; PT.
FEE,TICKLED AUDIENCE PLATFORM; PT
CONTENT & PRODUCTION,VOLIX SUARA GENERASI PT.
DIGITAL TV,DOUBLE VERIFY INC
TECH SERVICE,GAGAS MAHADAYA INDERA; PT.
VIDEO,DYNAMO MEDIA NETWORK; PT
SPONSORSHIP/ PACKAGE,SILVERPUSH GLOBAL PTE. LTD
AD-OPS,AFFLE INDONESIA; PT
TECH SERVICE,JIVOX CORP
DISPLAY,IKLAN DIGITAL INDONESIA PT.
CONTENT & PRODUCTION,VIDIO DOT COM; PT.
DISPLAY,HTTPOOL DIGITAL INDONESIA; PT.
SPONSORSHIP/ PACKAGE,FORK MEDIA ASIA PTE. LTD
SPONSORSHIP/ PACKAGE,ANDALAN CIPTA MAKMUR PT.
CONTENT & PRODUCTION,KONTEN CIPTA KREATIF; PT
CONTENT & PRODUCTION,TIRTA ADI SURYA; PT
DISPLAY (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
FEE,MEDIA AWAN DIGITAL INDONESIA; PT.
SPONSORSHIP/ PACKAGE,TELEKOMUNIKASI SELULAR; PT.
CONTENT & PRODUCTION,FORK MEDIA ASIA PTE. LTD
VIDEO,FACEBOOK IRELAND LIMITED.
FEE,BRILIO VENTURA INDONESIA; PT.
DISPLAY,YIELD MARKETING TECHNOLOGY; PT.
VIDEO,MOBINET PTE. LTD.
DISPLAY,TOKOPEDIA; PT.
PRODUCTION,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
VIDEO,GAGAS MAHADAYA INDERA; PT.
DISPLAY,KOMPAS MEDIA NUSANTARA; PT
DISPLAY,ASTRO TECHNOLOGIES INDONESIA ; PT
SPONSORSHIP/ PACKAGE,BILNA ; PT
DISPLAY,MEDIA DOKTER INVESTAMA; PT
CONTENT & PRODUCTION,GAGAS MAHADAYA INDERA; PT. (INCA)
CONTENT & PRODUCTION,VIDIO DOT COM; PT.
CONTENT & PRODUCTION,KAPAN LAGI DOT COM NETWORKS PT
CONTENT & PRODUCTION,METRA-NET; PT
SPONSORSHIP/ PACKAGE,HTTPOOL DIGITAL INDONESIA; PT.
CONTENT & PRODUCTION,DYNAMO MEDIA NETWORK; PT
AD-OPS,INMOBI PTE. LTD.
DISPLAY,ANYMIND TECHNOLOGY INDONESIA; PT.
AUDIO,MAHAKA RADIO DIGITAL;PT
ECOMMERCE,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
INFLUENCER,WELOVESUPERMOM MARKETING INDONESIA; PT
DISPLAY,GOTO SOLUSI NIAGA PT.
CONTENT & PRODUCTION,RANS Entertaimen Indonesia; PT.
AUDIO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
CONTENT & PRODUCTION,YIELD MARKETING TECHNOLOGY; PT.
FEE,GAGAS MAHADAYA INDERA; PT. (INCA)
CONTENT & PRODUCTION,Amira Dewi Dayanara PT
VIDEO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - Programmatic
VIDEO,KEDO DIGITAL SOLUSI; PT.
SPONSORSHIP/ PACKAGE,TRI MEDIA ARUNA SEJAHTERA PT.
VIDEO,PT. CITRA MULTIMEDIA INDONESIA
SPONSORSHIP/ PACKAGE,WEB MARKETING INDONESIA; PT.
FEE,DOUBLE VERIFY INC
PUBLISHER,MEDIA INSANI ABADI PT.
MOBILE APP,MAIDEN MARKETING PTE. LTD
ECOMMERCE,GOOGLE INDONESIA; PT
SPONSORSHIP/ PACKAGE,GOOGLE INDONESIA; PT
DISPLAY,MNC OKEZONE NETWORK; PT
DISPLAY,LEMBAGA KANTOR BERITA NASIONAL ANTARA
FEE,DAILY DINAMIKA KREASI; PT.
TECH SERVICE,BUFFALO TECHNOLOGY PTE LTD
CONTENT & PRODUCTION,CV DUA PILAR KREATIF
CONTENT & PRODUCTION,GLOBAL URBAN ESENSIAL; PT
CONTENT & PRODUCTION,KOMITE OLIMPIADE INDONESIA
DISPLAY,INSIDER PTE LTD
SPONSORSHIP/ PACKAGE,VISI CIPTA BENTARA LOKA; PT
FEE,KEDO DIGITAL SOLUSI; PT.
VIDEO,MOBKOI ASIA PTE. LTD.
DISPLAY,Wahana Ekonomi Semesta PT.
SPONSORSHIP/ PACKAGE,GOOD DOCTOR TECHNOLOGY INDONESIA; PT
CONTENT & PRODUCTION,BINTANG LANGIT MULTIMEDIA; PT.
CONTENT & PRODUCTION,GLOBAL VISI MEDIA; PT
SPONSORSHIP/ PACKAGE,AFFLE INDONESIA; PT
FEE,METRA DIGITAL MEDIA; PT
AFFILIATE,TOKOPEDIA; PT.
SPONSORSHIP/ PACKAGE,GERBANG JUARA CV.
SPONSORSHIP/ PACKAGE,PT MAVERICK EMAS INDONESIA
INFLUENCER,KOMPAS CYBER MEDIA; PT.
INFLUENCER,MEDIA PUTRA NUSANTARA
CONTENT & PRODUCTION,HTTPOOL DIGITAL INDONESIA; PT.
DISPLAY,VIDIO DOT COM; PT.
SPONSORSHIP/ PACKAGE,ALODOKTER TEKNOLOGI SOLUSI; PT
DISPLAY,NUSANTARA MEDIA MANDIRI PT.
DISPLAY,AP&M INDONESIA PT.
SPONSORSHIP/ PACKAGE,MEDIA INSANI ABADI; PT.
CONTENT & PRODUCTION,FORK MEDIA ASIA PTE. LTD
DISPLAY,REPUBLIKA MEDIA MANDIRI PT.
SPONSORSHIP/ PACKAGE,INFOARTA PRATAMA; PT
SPONSORSHIP/ PACKAGE,RAHASIA GADIS NUSANTARA; PT
SPONSORSHIP/ PACKAGE,TOKOPEDIA; PT.
CONTENT & PRODUCTION,GOTO GOJEK TOKOPEDIA Tbk; PT
DISPLAY,SPOTIFY SERVICES INDONESIA; PT.
DIGITAL TV,VIDIO DOT COM; PT.
MOBILE APP,RTB HOUSE PTE LTD
CONTENT & PRODUCTION,FOLKA CIPTA KARYA; PT
DISPLAY,SeenThis Pte Ltd
VIDEO,YIELD MARKETING TECHNOLOGY; PT.
DISPLAY,AdColony Singapore PTE Ltd
CONTENT & PRODUCTION,NUMEDIA ARTHA KOMUNIKA; PT
CONTENT & PRODUCTION,VIVANEWS INDONESIA PT
PBU DISPLAY,MEDIACOM SINGAPORE (A DIVISION OF GROUPM SINGAPORE PTE LTD)
SPONSORSHIP/ PACKAGE,DHARMA NYATA PRESS; PT
DISPLAY,INMOBI PTE. LTD.
SPONSORSHIP/ PACKAGE,Kartini Otomasi Indonesia PT.
SPONSORSHIP/ PACKAGE,Dharmakencana Dipta Paramitha PT
SPONSORSHIP/ PACKAGE,PRIMA INFOSARANA MEDIA; PT
FEE,MP GAMES; PT.
DISPLAY,PRIMA INFOSARANA MEDIA; PT
CONTENT & PRODUCTION,CLOZETTE INTERAKTIF INDONESIA; PT.
TOP UP,TOKOPEDIA; PT.
FEE,SHOPEE INTERNATIONAL INDONESIA; PT
CONTENT & PRODUCTION,BILNA ; PT
VIDEO,GOTO GOJEK TOKOPEDIA Tbk; PT
FEE,GAGAS MAHADAYA INDERA; PT.
DISPLAY,Monster Entertainment Indonesia; PT
CONTENT & PRODUCTION,GOTO GOJEK TOKOPEDIA Tbk; PT
TRAFFICC,FACEBOOK IRELAND LIMITED.
CONTENT & PRODUCTION,MEDIA ANAK BINTANG PT.
FEE,TRIBUN DIGITAL ONLINE; PT.
DISPLAY,BOUNTY MEDIA PTE LTD
PACKAGE,MEDIA PUTRA NUSANTARA
FEE,GAGAS MAHADAYA INDERA; PT. (INCA)
DISPLAY,JAWA POS GROUP MULTIMEDIA; PT.
AD-OPS,MP GAMES; PT.
DISPLAY,PT. INFO MEDIA DIGITAL
PRODUCTION,CLOZETTE INTERAKTIF INDONESIA; PT.
FEE,FACEBOOK IRELAND LIMITED.
PACKAGE,LIPUTAN6 DOT COM
DISPLAY,PT. CITRA MULTIMEDIA INDONESIA
MOBILE APP,MOBINET PTE. LTD.
PAID NON VIDEO,HTTPOOL DIGITAL INDONESIA; PT.
TECH SERVICE,TELEKOMUNIKASI SELULAR; PT.
DISPLAY,PT Bersatu Universe Digital Indonesia (Internet)
SPONSORSHIP/ PACKAGE,HIGHEND MULTIMEDIA INDONESIA;PT
MOBILE APP,AdColony Singapore PTE Ltd
AUDIO,GOOGLE INDONESIA; PT
DISPLAY,VIVANEWS INDONESIA PT
CONTENT & PRODUCTION,PRIMA INFOSARANA MEDIA; PT
VIDEO,GAGAS MAHADAYA INDERA; PT. (ICO)
SEARCH,FACEBOOK IRELAND LIMITED.
PRODUCTION,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
CONTENT & PRODUCTION,PCCW OTT (PHILIPPINES); INC.
CONTENT & PRODUCTION,JAMPI MEDIA; PT.
DISPLAY,GAJAH MERAH TERBANG; PT.
CONTENT & PRODUCTION,GOTO GOJEK TOKOPEDIA Tbk; PT
CONTENT & PRODUCTION,CV VOBI IDN
PUBLISHER,SHOPCOMM SOLUSI INDONESIA; PT
CONTENT & PRODUCTION,VIDIO DOT COM; PT.
VIDEO,HTTPOOL DIGITAL INDONESIA; PT.
CONTENT & PRODUCTION,PT DYANDRA GLOBAL EDUTAIMENT
VIDEO,Infomo Media Technology
DISPLAY,REMERGE PTE LTD
CONTENT & PRODUCTION,DUNIA VISITAMA PRODUKSI; PT.
CONTENT & PRODUCTION,KREASI KARYA BANGSA; PT
AD-OPS,NIELSEN AUDIENCE MEASUREMENT; PT.
DISPLAY,VUCLIP DIGITAL INDONESIA PT.
SPONSORSHIP/ PACKAGE,PT. BUKALAPAK.COM
CONTENT & PRODUCTION,VUCLIP DIGITAL INDONESIA PT.
CONTENT & PRODUCTION,CITRA MEDIANUSA PURNAMA; PT
SPONSORSHIP/ PACKAGE,FACEBOOK IRELAND LIMITED.
CONTENT & PRODUCTION,KONEKSI NIAGA SOLUSINDO; PT
INFLUENCER,IMPRESI BAGUS ASIA PT.
DISPLAY,VENTES AVENUE PRIVATE LIMITED
CONTENT & PRODUCTION,FACEBOOK IRELAND LIMITED.
CONTENT & PRODUCTION,ALODOKTER TEKNOLOGI SOLUSI; PT
ANALYTICS,FACEBOOK IRELAND LIMITED.
MOBILE APP,AFFLE INDONESIA; PT
VIDEO,MAHAKA RADIO DIGITAL;PT
CONTENT & PRODUCTION,OPI PERSADA INDONESIA PT.
PUBLISHER,MEDIA PUTRA NUSANTARA
AD-OPS,FACEBOOK IRELAND LIMITED.
CONTENT & PRODUCTION,TICKLED MEDIA PTE LTD
DISPLAY,DARTA MEDIA INDONESIA; PT
DISPLAY,CHOREOGRAPH LIMITED
PRODUCTION,SUPER FANTASI DOT COM PT.
FEE,KANTAR INDONESIA INTERNATIONAL; PT.
CONTENT & PRODUCTION,PT. MARKETEERS INTERNATIONAL
CONTENT & PRODUCTION,VUCLIP DIGITAL INDONESIA PT.
VIDEO,FORK MEDIA ASIA PTE. LTD
FEE,FORMASI AGUNG SELARAS;  PT.
FEE (ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
VIDEO,INMOBI PTE. LTD.
CONTENT & PRODUCTION,PRICEBOOK DIGITAL INDONESIA; PT
DISPLAY,TRANS DIGITAL MEDIA; PT
DISPLAY,GLOBAL URBAN ESENSIAL; PT
SPONSORSHIP/ PACKAGE,GOTO GOJEK TOKOPEDIA Tbk; PT
DISPLAY,PT. MEDIA DONUTS INDONESIA
DISPLAY (ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - Programmatic
DISPLAY,LATIVI MEDIA KARYA TVONE; PT.
SPONSORSHIP/ PACKAGE,Grab Teknologi Pariwara Indonesia; PT
DISPLAY,METRA-NET; PT
SPONSORSHIP/ PACKAGE,NAVER WEBTOON CORPORATION
DIGITAL TV,VUCLIP DIGITAL INDONESIA PT.
AFFILIATE,MINDO SMALL BUSINESS SOLUTIONS PT.
TOP UP,SHOPEE INTERNATIONAL INDONESIA; PT
DISPLAY,SHOPBACK MITRA SEJAHTERA; PT.
MOBILE APP,JEJAK DIGITAL INDONESIA; PT.
SPONSORSHIP/ PACKAGE,Nizertek Lintas Bumi; PT
TECH SERVICE,ICUBESWIRE TECHNOLOGIES PRIVATE LIMITED
CONTENT & PRODUCTION,KONTEN CIPTA KREATIF; PT
SPONSORSHIP/ PACKAGE,Hybe Co; Ltd.
PRODUCTION,CHEIL WORLDWIDE INDONESIA; PT
CONTENT & PRODUCTION,PT Bersatu Universe Digital Indonesia (Internet)
AD-OPS,SMARTLY.IO SOLUTIONS OY
AFFILIATE,FACEBOOK IRELAND LIMITED.
TRAFFICC,GLOBAL DIGITAL NIAGA; PT
SPONSORSHIP/ PACKAGE,KOMUNIKASI PERKASA INTERNATIONAL; PT.
DISPLAY,XAPADS MEDIA PTE.LTD
SPONSORSHIP/ PACKAGE,AdColony Singapore PTE Ltd
SPONSORSHIP/ PACKAGE,PT. MEDIA KAPITAL INDONESIA
ANALYTICS,MP GAMES; PT.
DISPLAY,KONEKSI NIAGA SOLUSINDO; PT
CONTENT & PRODUCTION,RANS SATU BUNDA;PT
DISPLAY,GAGAS MAHADAYA INDERA; PT.
CONTENT & PRODUCTION,BUZZO DIGITAL INDONESIA PT.
VIDEO,GAGAS MAHADAYA INDERA; PT.
FEE,KOMPAS CYBER MEDIA; PT.
VIDEO,MAIDEN MARKETING PTE. LTD
DISPLAY,MAGNITE; INC.
PRODUCTION,GAGAS MAHADAYA INDERA; PT. (INCA)
SPONSORSHIP/ PACKAGE,ALPHA MERAH KREASI; PT.
MOBILE APP,JAWA POS GROUP MULTIMEDIA; PT.
SPONSORSHIP/ PACKAGE,GRAB TEKNOLOGI INDONESIA; PT.
DISPLAY (ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - Programmatic
DISPLAY,ALODOKTER TEKNOLOGI SOLUSI; PT
DISPLAY,PT BLUE BIRD TBK (DIGITAL)
DISPLAY,TEADS INDONESIA ADVERTISING; PT
CONTENT & PRODUCTION,BAPAK BAPAK SERIUS PT.
VIDEO,BINTANG LANGIT MULTIMEDIA; PT.
AFFILIATE,INTERSPACE INDONESIA; PT.
VIDEO,ADMATTIC ASIA PACIFIC PT.
CONTENT & PRODUCTION,GLOBAL DIGITAL NIAGA; PT
CONTENT & PRODUCTION,KOMPAS
CONTENT & PRODUCTION,QEON INTERACTIVE; PT
FEE,HELLO HEALTH GROUP; PTE LTD
DISPLAY,PENERBITAN SARANA BOBO; PT
DISPLAY,FIRST MEDIA NEWS; PT.
CONTENT & PRODUCTION,GOOGLE INDONESIA; PT
CONTENT & PRODUCTION,ETCETERA ARTECHSINDO ;PT
DIGITAL,MEDIA TELEVISI INDONESIA; PT.
SPONSORSHIP/ PACKAGE,HTTPOOL DIGITAL INDONESIA; PT.
DISPLAY,GAGAS MAHADAYA INDERA; PT.
VIDEO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
MOBILE APP,YIELD MARKETING TECHNOLOGY; PT.
FEE,GLOBAL DIGITAL NIAGA; PT
CONTENT & PRODUCTION,INFOMETRO MEDIATAMA; PT.
FEE,VIDIO DOT COM; PT.
MOBILE APP,TRANS DIGITAL MEDIA; PT
FEE,AFFLE INDONESIA; PT
DISPLAY,Investortrust Indonesia Sejahtera PT.

