media_subtype,vendor
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - RTV)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - INEWS)
OUT DOOR,POINT OF SALE MEDIA NETWORK PT
RADIO,RADIO NIRWANA; PT
OUT DOOR,HELPIO GLOVIN TEKNOLOGI; PT.
ADDRESSABLE TV,GAGAS MAHADAYA INDERA; PT. (FINECAST)
OUT DOOR,KELAPA MEDIA INDONESIA; PT.
OUT DOOR,PIXEL ART INDONESIA; PT
RADIO,RADIO PROSALIRIKNADA; PT
TV,TRANS NEW CORPORA; PT.
TV PAY,TRANS DIGITAL MEDIA; PT
TV,Wavemaker Singapore
MAGAZINE,BINTANG CIPTA SARANA PT.
RADIO,UNISI 104.50 FM  YOGYAKARTA
NEWSPAPPER,JAWA POS
NEWSPAPPER,KOMPAS
TV,SPOTV MEDIA PTE. LTD.
OUT DOOR,Narada Sahara Kencana; PT
NEWSPAPPER,SURYA
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - GTV)
OUT DOOR,PULAU PULAU MEDIA; PT.
MAGAZINE,HIGHEND MULTIMEDIA INDONESIA;PT
MAGAZINE,MEDIA INSANI ABADI PT.
TV FTA,GRAMEDIA MEDIA NUSANTARA; PT.
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - KOMPAS TV)
TV PAY,TELEKOMUNIKASI SELULAR; PT.
TV,TELEKOMUNIKASI SELULAR; PT.
RADIO,RADIO SALAM RAMA DWIHASTA; PT
RADIO,EKATANA INTRASURYA PERSADA PT. (RD)
RADIO,JAK FM  JAKARTA
OUT DOOR,ADVISINDO ARTISTIKA PT.
OUT DOOR,AIRPORT MEDIA NETWORK; PT.
OUT DOOR,MITRA INOVASI GEMILANG; PT
RADIO,MAHAKA RADIO DIGITAL;PT
